time,ibp_ab,ibp_ba,snb,sba,empl,ibp_rb,ibp_nd,ibp_bad,snrb,snd,sbad,nbpio,ndpio,GVA,red,LM,CM,all_m,irhl,gn_hl,ta_ghl
2010.1,1904,824290,825,413866,226720,987,2789,358483,462,1652,210705,515,3284,899286000,28403,933,5105,6038,9.328,153706,8485514000
2010.2,2670,1110226,1366,472159,223615,1441,3933,508938,785,1811,256084,656,4737,1348475000,45464,1639,7210,8849,9.0835,154474,8556073000
2010.3,2580,1068804,1300,548913,223547,1311,3405,443743,757,2260,269794,543,3822,1118613000,46968,1421,6074,7495,8.4384,155300,8604795000
2010.4,2312,1017686,1107,498519,225997,1152,2705,377727,611,2286,265206,636,3928,1297376000,61541,1849,7883,9732,8.3437,156589,8709376000
2011.1,1942,973701,894,417814,194437,951,2458,320010,459,1540,194892,688,3610,875793000,35022,1164,5190,6354,8.3344,157749,8715646000
2011.2,2761,918962,1446,554716,195941,1319,3032,433501,732,2127,273690,706,3632,1024541000,67254,2275,9245,11520,8.3464,158605,8765774000
2011.3,2829,1150851,1317,583323,199947,1335,2538,438608,721,1689,226982,672,3250,1355022000,54997,1655,5591,7246,8.4549,158862,8793251000
2011.4,2813,1114179,1338,692259,203346,1194,2945,414419,640,1740,228438,883,3461,1224783000,65460,2007,6350,8357,8.101,159669,8872851000
2012.1,1917,745663,793,425527,181407,868,1944,281787,382,1262,161301,609,2287,799324000,35821,1110,4334,5444,7.7482,159416,8823717000
2012.2,2548,948375,1282,518559,176216,1219,2795,405235,683,2002,242981,552,2496,1138434000,53920,1565,5975,7540,7.5147,159279,8851374000
2012.3,2462,979546,1274,478594,198203,1159,2715,356971,660,1378,200062,559,2356,1294146000,58643,1684,4910,6594,7.0735,159001,8838150000
2012.4,2419,924081,1152,454422,187910,992,3162,389239,601,2147,216984,679,2831,958341000,69767,1958,5991,7949,7.0437,160465,8941888000
2013.1,1699,750630,776,369094,173494,764,1877,275874,399,1513,185927,551,2236,643706000,44174,1376,4370,5746,6.9595,159951,8877646000
2013.2,2572,1020988,1206,529719,168993,1151,2985,395038,665,1729,231620,556,2485,915650000,55716,1811,5661,7472,6.7064,160296,8858581000
2013.3,2496,1099833,1260,617277,189579,1173,3760,489204,687,1896,294160,510,2231,102823000,59475,1838,4932,6770,6.6336,160308,8808431000
2013.4,2183,1078017,1217,768051,185343,1032,3656,444602,591,2531,286640,582,2298,853262000,65279,2110,5640,7750,7.0607,161471,8830518000
2014.1,1976,955863,980,496038,170204,1015,3392,466109,504,1616,226717,532,2322,625141000,40581,1691,4048,5739,6.6419,164318,8874404000
2014.2,2340,890919,1410,558328,170355,1121,3462,461241,812,2234,318656,628,3052,776910000,54543,2371,5494,7865,6.5327,165772,8891355000
2014.3,2183,982560,1179,570630,189674,1039,3440,443659,600,1715,219906,572,2324,1097276000,57658,2395,5281,7676,6.5788,164816,8829511000
2014.4,2256,1308718,1085,591334,181345,1070,5554,678603,544,2790,314927,720,2295,723486000,65133,2784,7123,9907,6.2411,163766,8749269000
2015.1,1840,1043553,965,713036,173383,960,4297,558765,543,3218,425260,549,1409,665014000,44330,2294,5770,8064,6.1046,162816,8685561000
2015.2,2459,1401763,1531,895817,175126,1140,3455,513073,847,3630,465091,505,1945,792101000,58149,2906,7784,10690,5.7728,163691,8695409000
2015.3,2291,1207435,1223,742353,197235,1154,4670,654082,741,3006,446375,577,2456,1077616000,59259,2516,7307,9823,5.7239,164399,8687812000
2015.4,2259,1318603,1107,711844,183782,1056,4842,590883,619,2454,324318,632,1996,842506000,68583,3311,8864,12175,5.4087,143355,7549116000
2016.1,1868,1094100,984,672924,171916,993,3434,508473,601,2605,353542,541,2310,647310000,42976,2666,6818,9484,5.1039,143050,7547166000
2016.2,2398,1132468,1432,784122,167760,1216,4438,604825,836,2961,418895,519,2253,819603000,56166,3633,9222,12855,4.923,143534,7612523000
2016.3,2404,1439999,1447,777054,187102,1183,4937,634892,830,3144,395609,476,2379,1123379000,59162,3713,9003,12716,4.6762,143587,7658630000
2016.4,2692,1813759,1276,934832,173952,1122,5348,679977,720,3785,472837,625,2400,621721000,70282,4334,11095,15429,4.2815,144220,7749243000
2017.1,2263,1482107,1115,757641,169756,1093,4692,595048,639,3218,407719,462,1751,729712000,37061,3066,8964,12030,4.085,144504,7827079000
2017.2,3655,1803737,2583,1332520,167875,1647,5815,781456,1281,3842,526070,584,2575,956544000,54613,4016,12800,16816,3.8821,146298,8075356000
2017.3,2775,1687191,1701,866735,186688,1526,7135,934851,982,3409,451460,505,2017,1194164000,56293,3590,12419,16009,3.8343,147276,8243438000
2017.4,2456,1625468,1365,1025606,177439,1296,7327,904953,779,4215,543767,654,2041,760502000,66418,4297,14544,18841,3.6316,148244,8411693000
2018.1,2214,1487360,1208,927703,176671,1477,6247,815987,723,4157,476224,570,1535,848949000,41333,3027,11515,14542,3.5485,150923,8599766000
2018.2,2782,2017630,1877,1383754,182213,1659,8178,1023667,1128,6195,812169,572,2284,1013259000,52308,3715,14224,17939,3.3819,152655,8868566000
2018.3,2903,2094075,1705,1197439,194017,1476,9419,1173841,1476,5921,667401,460,1944,1323923000,55897,3331,12227,15558,3.3206,154359,9121545000
2018.4,2829,2462944,1570,1353958,185253,1162,11682,1457570,1162,5881,757784,722,2373,787451000,63048,3601,10802,14403,3.235,155980,9404970000
2019.1,2424,1660545,1532,1229894,186321,1247,7832,1032933,871,4481,625846,665,2597,909512000,40003,2436,6873,9309,3.1747,156884,9627006000
2019.2,2790,1729313,1849,1213796,193861,1591,8456,1078441,1203,5650,725541,662,2343,1206488000,52503,3323,8679,12002,3.1001,159717,9976766000
2019.3,2841,1863467,1835,1311717,204669,1630,9018,1110322,1156,7021,908670,788,2984,1449414000,55103,3108,7975,11083,2.9763,162116,10358354000
2019.4,2636,1527305,1618,1108297,197749,1512,7477,895903,993,5770,682233,937,4181,1053752000,63920,3754,9820,13574,2.9952,164492,10770613000
2020.1,2256,1351636,1404,1044975,189914,1351,6317,815293,847,4454,529686,751,3803,1098005000,37697,2431,6818,9249,2.9066,166478,11052525000
2020.2,2328,1269556,1584,943253,190959,1362,5928,823615,979,4766,622361,766,3380,1246463000,37903,2192,6295,8487,2.9064,167998,11301128000
2020.3,2845,1516444,1931,1290993,199325,1696,7414,964166,1282,5899,726896,879,3923,1588047000,56675,2646,7545,10191,2.8664,169934,11634130000
2020.4,2470,1686393,1593,1085615,189010,1451,9779,1142665,1008,5616,702408,969,4309,1064000000,61291,3141,9020,12161,2.8112,172021,12016351000
